"編號","管制編號","裁處時間","管轄縣市","裁處書字號","違反時間","違反法令","裁罰金額","是否訴願","審議機關","訴願結果","陳情結果","違規人名稱","裁處公司名稱","事業名稱","地址","縣市","鄉鎮","行業別","所屬工業區","列管類別","機構地址","東經","北緯","更正後X","更正後Y","列管狀況","事業別","鄉鎮別","流域別"
4,"A3504362","2016/8/24","新竹縣","30-105-080019","2016/5/19","水污染防治法第7條第1項",297000,"否","","","","台元紡織股份有限公司竹北總廠","台元紡織股份有限公司","","","","","","","","",,,,,"","","",""
5,"A3504362","2015/10/14","新竹縣","30-104-100011","2015/8/6","水污染防治法第7條第1項",140000,"否","","","","台元紡織股份有限公司竹北總廠","台元紡織股份有限公司","","","","","","","","",,,,,"","","",""
6,"A3504362","2015/7/10","新竹縣","30-104-070004","2015/4/30","水污染防治法第7條第1項",110000,"否","","","","台元紡織股份有限公司竹北總廠","台元紡織股份有限公司","","","","","","","","",,,,,"","","",""
7,"A3504362","2015/7/10","新竹縣","30-104-070005","2015/4/30","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第16條",10000,"否","","","","台元紡織股份有限公司竹北總廠","台元紡織股份有限公司","","","","","","","","",,,,,"","","",""
8,"A3504362","2014/4/22","新竹縣","30-103-040005","2014/3/3","水污染防治法第7條第1項",80000,"否","","","","台元紡織股份有限公司竹北總廠","台元紡織股份有限公司","","","","","","","","",,,,,"","","",""
9,"A3504362","2012/8/3","新竹縣","30-101-080001","2012/6/12","水污染防治法第28條第1項",170000,"否","","","","台元紡織股份有限公司竹北總廠","台元紡織股份有限公司","","","","","","","","",,,,,"","","",""
10,"J5500960","2014/2/17","新竹縣","30-103-020007","2013/11/4","水污染防治法第7條第1項",110000,"否","","","","","大安醫院","大安醫院","新竹縣竹北市博愛街３１８巷６號","新竹縣","竹北市","醫院(醫院)","非屬工業區類","廢棄物;","新竹縣竹北市博愛街318巷6號",250021,2747660,250021,2747660,"屬於水污法定義範圍內之列管事業","醫院、醫事機構","竹北市","鳳山溪"
11,"J5500964","2017/2/8","新竹縣","30-106-020002","2016/11/21","水污染防治法第21條第2項",10000,"否","","","","大安醫院","大安醫院","大安醫院","新竹縣竹北市竹義里博愛街２９８巷５號","新竹縣","竹北市","醫院(醫院)","非屬工業區類","水污染;","新竹縣竹北市博愛街318巷6號",250021,2747660,250021,2747660,"屬於水污法定義範圍內之列管事業","醫院、醫事機構","竹北市","鳳山溪"
12,"J55097011460","2015/1/19","新竹縣","30-104-010018","2014/5/8","水污染防治法第19條",60000,"否","","","","公園大郡社區污水下水道系統","公園大郡公寓大廈管理委員會","","","","","","","","",,,,,"","","",""
13,"J6300860","2014/5/13","新竹縣","30-103-050008","2013/12/27","水污染防治法第8條",60000,"否","","","資料鍵入錯誤","南茂科技股份有限公司竹北廠","南茂科技股份有限公司","","","","","","","","",,,,,"","","",""
14,"J63A1888","2016/4/12","新竹縣","30-105-040002","2016/3/4","水污染防治法第7條第1項，水污染防治法第18條(之1)第4項",4158000,"否","","","","南茂科技股份有限公司竹北廠","南茂科技股份有限公司","南茂科技股份有限公司","新竹縣寶山鄉研發一路１號","新竹縣","寶山鄉","其他無店面零售業","","毒性化學物質;","",,,,,"","","",""
15,"J63A1888","2016/4/12","新竹縣","30-105-040003","2016/3/4","水污染防治法第14條第1項",243000,"否","","","","南茂科技股份有限公司竹北廠","南茂科技股份有限公司","南茂科技股份有限公司","新竹縣寶山鄉研發一路１號","新竹縣","寶山鄉","其他無店面零售業","","毒性化學物質;","",,,,,"","","",""
16,"J63A1888","2014/5/16","新竹縣","30-103-050014","2013/12/27","水污染防治法第8條",60000,"否","","","","南茂科技股份有限公司竹北廠","南茂科技股份有限公司","南茂科技股份有限公司","新竹縣寶山鄉研發一路１號","新竹縣","寶山鄉","其他無店面零售業","","毒性化學物質;","",,,,,"","","",""
17,"A36A1144","2014/5/15","新竹縣","30-103-050011","2014/4/9","水污染防治法第7條第1項",110000,"否","","","","中國砂輪企業股份有限公司竹北廠","中國砂輪企業股份有限公司","","","","","","","","",,,,,"","","",""
18,"A36A1144","2012/10/29","新竹縣","30-101-100002","2012/8/21","水污染防治法第7條第1項",110000,"否","","","","中國砂輪企業股份有限公司竹北廠","中國砂輪企業股份有限公司","","","","","","","","",,,,,"","","",""
19,"J55097007519","2017/6/7","新竹縣","30-106-060002","2017/2/23","水污染防治措施及檢測申報管理辦法第94條第1項，水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項",6000,"否","","","","聯合能源科技股份有限公司","聯合能源科技股份有限公司","","","","","","","","",,,,,"","","",""
20,"J5504328","2013/11/4","新竹縣","30-102-110001","2013/6/26","水污染防治法第7條第1項",140000,"否","","","資料鍵入錯誤","台元科技園區廠辦大樓污水下水道系統","台元科技園區廠辦大樓污水下水道系統","台元科技園區廠辦大樓污水下水道系統","新竹縣竹北市臺元街二六號二樓","新竹縣","竹北市","廢（污）水處理業(廢（污）水處理業)","台元科技園區","水污染;廢棄物;","",,,,,"","","",""
21,"J5504328","2013/6/3","新竹縣","30-102-060001","2013/3/1","水污染防治法第7條第1項",80000,"否","","","資料鍵入錯誤","台元科技園區廠辦大樓污水下水道系統","台元科技園區廠辦大樓污水下水道系統","台元科技園區廠辦大樓污水下水道系統","新竹縣竹北市臺元街二六號二樓","新竹縣","竹北市","廢（污）水處理業(廢（污）水處理業)","台元科技園區","水污染;廢棄物;","",,,,,"","","",""
22,"J55097005122","2014/2/17","新竹縣","30-103-020006","2013/12/2","水污染防治法第7條第1項",140000,"否","","","","台元科技園區廠辦大樓污水下水道系統","台元科技園區第一期管理委員會","","","","","","","","",,,,,"","","",""
23,"J55097005122","2013/11/7","新竹縣","30-102-110002","2013/6/26","水污染防治法第7條第1項",140000,"否","","","","台元科技園區廠辦大樓污水下水道系統","台元科技園區第一期管理委員會","","","","","","","","",,,,,"","","",""
24,"J55097005122","2013/6/4","新竹縣","30-102-060004","2013/3/1","水污染防治法第7條第1項",80000,"否","","","","台元科技園區廠辦大樓污水下水道系統","台元科技園區第一期管理委員會","","","","","","","","",,,,,"","","",""
25,"J5595061","2014/10/16","新竹縣","30-103-100005","2014/8/8","水污染防治法第18條，水污染防治法第7條第1項",180000,"否","","","","台灣沛晶股份有限公司","台灣沛晶股份有限公司","台灣沛晶股份有限公司","新竹縣竹北市泰和里中華路６７６巷１６號","新竹縣","竹北市","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","水污染;廢棄物;","新竹縣竹北市泰和里中華路676巷16號",250682,2748732,250682,2748732,"屬於水污法定義範圍內之列管事業","晶圓製造及半導體製造業","竹北市","鳳山溪"
26,"J55097012814","2015/12/28","新竹縣","30-104-120016","2015/9/16","水污染防治法第18條",10000,"否","","","","戀戀臺大","戀戀台大管理委員會","","","","","","","","",,,,,"","","",""
27,"J55097012761","2015/12/15","新竹縣","30-104-120011","2015/9/16","水污染防治法第18條",10000,"否","","","","大自然","大自然社區管理委員會","","","","","","","","",,,,,"","","",""
28,"J55097012770","2016/2/1","新竹縣","30-105-020001","2015/9/17","水污染防治法第19條",60000,"否","","","","新家華建設(羅馬假期)店舖住宅專用污水下水道系統","羅馬假期社區管理委員會","","","","","","","","",,,,,"","","",""
29,"J55A1230","2015/4/24","新竹縣","30-104-040012","2015/4/15","水污染防治法第7條第1項，水污染防治法第18條",600000,"否","","","","益廣達實業股份有限公司","益廣達實業股份有限公司","益廣達實業股份有限公司","新竹縣竹北市泰和里環北路二段１７５巷１０號","新竹縣","竹北市","其他非金屬礦物製品製造業(未分類其他非金屬礦物製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹北市泰和里環北路2段175巷10號",250790,2749321,250790,2749321,"屬於水污法定義範圍內之列管事業","土石加工業","竹北市","鳳山溪"
30,"J55A1230","2015/4/8","新竹縣","30-104-040004","2015/2/26","水污染防治法第7條第1項",140000,"否","","","","益廣達實業股份有限公司","益廣達實業股份有限公司","益廣達實業股份有限公司","新竹縣竹北市泰和里環北路二段１７５巷１０號","新竹縣","竹北市","其他非金屬礦物製品製造業(未分類其他非金屬礦物製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹北市泰和里環北路2段175巷10號",250790,2749321,250790,2749321,"屬於水污法定義範圍內之列管事業","土石加工業","竹北市","鳳山溪"
31,"J55A1230","2013/4/12","新竹縣","30-102-040004","2013/1/24","水污染防治法第7條第1項",170000,"否","","","","益廣達實業股份有限公司","益廣達實業股份有限公司","益廣達實業股份有限公司","新竹縣竹北市泰和里環北路二段１７５巷１０號","新竹縣","竹北市","其他非金屬礦物製品製造業(未分類其他非金屬礦物製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹北市泰和里環北路2段175巷10號",250790,2749321,250790,2749321,"屬於水污法定義範圍內之列管事業","土石加工業","竹北市","鳳山溪"
138,"J5800843","2015/4/28","新竹縣","30-104-040014","2015/2/13","水污染防治法第8條",60000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
139,"J5800843","2015/4/28","新竹縣","30-104-040015","2015/2/13","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第50條",10000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
140,"J5800843","2015/3/31","新竹縣","30-104-030009","2015/1/20","水污染防治法第7條第1項",200000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
141,"J5800843","2015/2/2","新竹縣","30-104-020001","2014/12/30","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第50條",10000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
142,"J5800843","2014/11/28","新竹縣","30-103-110006","2014/9/18","水污染防治法第7條第1項",70000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
143,"J5800843","2014/4/7","新竹縣","30-103-040003","2014/1/13","水污染防治措施計畫及許可申請審查辦法第7條，水污染防治法第20條第1項",30000,"否","","","","德興科技材料股份有限公司二廠","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
144,"J5800843","2014/4/7","新竹縣","30-103-040004","2014/1/13","水污染防治法第14條第2項",10000,"否","","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
145,"J5800843","2014/3/5","新竹縣","30-103-030002","2014/1/3","水污染防治法第18條，水污染防治法第7條",190000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
146,"J5800843","2014/3/5","新竹縣","30-103-030003","2014/1/3","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第50條",10000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
147,"J5800843","2012/9/10","新竹縣","30-101-090001","2012/7/3","水污染防治法第7條第1項",250000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
148,"J5800843","2012/7/10","新竹縣","30-101-070005","2012/5/18","水污染防治法第18條，水污染防治法第7條第1項",370000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
149,"J5800843","2012/7/4","新竹縣","30-101-070003","2012/4/24","水污染防治法第7條第1項，水污染防治法第18條",310000,"否","","","","德興科技材料股份有限公司","德興科技材料股份有限公司","德興科技材料股份有限公司","新竹縣竹東鎮頭重里中興路四段１０２號","新竹縣","竹東鎮","玻璃及其製品製造業(玻璃纖維製造業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
150,"J5800861","2015/10/27","新竹縣","30-104-100017","2015/8/17","水污染防治法第28條第1項",120000,"否","","","","中國製釉股份有限公司","中國製釉股份有限公司","中國製釉股份有限公司","新竹縣竹東鎮頭重里中興路四段１３６號","新竹縣","竹東鎮","玻璃及其製品製造業(其他玻璃及其製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹東鎮頭重里中興路四段136號",254907,2740708,254907,2740708,"屬於水污法定義範圍內之列管事業","玻璃業","竹東鎮","頭前溪"
151,"J5800861","2015/4/2","新竹縣","30-104-040002","2015/1/29","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第52條第1項",150000,"否","","","","中國製釉股份有限公司","中國製釉股份有限公司","中國製釉股份有限公司","新竹縣竹東鎮頭重里中興路四段１３６號","新竹縣","竹東鎮","玻璃及其製品製造業(其他玻璃及其製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹東鎮頭重里中興路四段136號",254907,2740708,254907,2740708,"屬於水污法定義範圍內之列管事業","玻璃業","竹東鎮","頭前溪"
152,"J5800861","2015/3/31","新竹縣","30-104-030010","2015/1/20","事業或污水下水道系統廢(污)水檢測申報管理辦法第7條第1項，水污染防治法第18條",10000,"否","","","","中國製釉股份有限公司","中國製釉股份有限公司","中國製釉股份有限公司","新竹縣竹東鎮頭重里中興路四段１３６號","新竹縣","竹東鎮","玻璃及其製品製造業(其他玻璃及其製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹東鎮頭重里中興路四段136號",254907,2740708,254907,2740708,"屬於水污法定義範圍內之列管事業","玻璃業","竹東鎮","頭前溪"
153,"J5800905","2014/5/24","新竹縣","30-103-050020","2014/4/9","水污染防治法第7條第1項",120000,"否","","","","台裕化學製藥廠股份有限公司","台裕化學製藥廠股份有限公司","台裕化學製藥廠股份有限公司","新竹縣竹東鎮員山路１１巷１３弄１號","新竹縣","竹東鎮","藥品及醫用化學製品製造業(西藥製造業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣竹東鎮員山路11巷13弄1號",253107,2741720,253107,2741720,"屬於水污法定義範圍內之列管事業","藥品製造業","竹東鎮","頭前溪"
154,"J5800905","2014/2/5","新竹縣","30-103-010012","2013/11/20","水污染防治法第7條第1項",120000,"否","","","","台裕化學製藥廠股份有限公司","台裕化學製藥廠股份有限公司","台裕化學製藥廠股份有限公司","新竹縣竹東鎮員山路１１巷１３弄１號","新竹縣","竹東鎮","藥品及醫用化學製品製造業(西藥製造業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣竹東鎮員山路11巷13弄1號",253107,2741720,253107,2741720,"屬於水污法定義範圍內之列管事業","藥品製造業","竹東鎮","頭前溪"
155,"J5800941","2016/5/31","新竹市","30-105-050005","2016/4/19","水污染防治法第7條第1項",81000,"否","","","","財團法人工業技術研究院(光復院區)","財團法人工業技術研究院","財團法人工業技術研究院","新竹縣竹東鎮中興路四段一九五號","新竹縣","竹東鎮","綜合研究發展服務業(綜合研究發展服務業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣竹東鎮中興路四段195號",254103,2741149,254103,2741149,"屬於水污法定義範圍內之列管事業","實驗、檢(化)驗、研究室","竹東鎮","頭前溪"
156,"J5800987","2016/8/19","苗栗縣","30-105-080008","2016/6/27","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第65條第1項",21000,"否","","","","微矽電子股份有限公司竹南廠","微矽電子股份有限公司","微矽電子股份有限公司","新竹縣竹東鎮雞林里八鄰沿河街三九五號","新竹縣","竹東鎮","半導體製造業(積體電路製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹東鎮雞林里沿河街395號",259998,2736449,259998,2736449,"屬於水污法定義範圍內之列管事業","晶圓製造及半導體製造業","竹東鎮","頭前溪"
157,"J5800987","2014/5/24","新竹縣","30-103-050021","2014/3/25","水污染防治法第18條",120000,"否","","","","微矽電子股份有限公司","微矽電子股份有限公司","微矽電子股份有限公司","新竹縣竹東鎮雞林里八鄰沿河街三九五號","新竹縣","竹東鎮","半導體製造業(積體電路製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹東鎮雞林里沿河街395號",259998,2736449,259998,2736449,"屬於水污法定義範圍內之列管事業","晶圓製造及半導體製造業","竹東鎮","頭前溪"
158,"J5801279","2015/10/27","新竹縣","30-104-100016","2015/8/19","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第16條",10000,"否","","","","國立臺灣大學醫學院附設醫院竹東分院","國立臺灣大學醫學院附設醫院竹東分院","國立臺灣大學醫學院附設醫院竹東分院","新竹縣竹東鎮至善路５２號","新竹縣","竹東鎮","醫院(醫院)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹東鎮至善路52號",259467,2734742,259467,2734742,"屬於水污法定義範圍內之列管事業","醫院、醫事機構","竹東鎮","上坪溪"
246,"J5903858","2015/6/11","新竹縣","30-104-060010","2015/5/11","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第4條",10000,"否","","","","雅信鑄造股份有限公司二廠","雅信鑄造股份有限公司","雅信鑄造股份有限公司","新竹縣湖口鄉鳳凰村中華路１１８號","新竹縣","湖口鄉","金屬加工處理業(其他金屬加工處理業)","新竹工業區","廢棄物;","",,,,,"","","",""
247,"J5905192","2015/8/7","新竹縣","30-104-080001","2015/6/19","水污染防治法第14條第2項",10000,"否","","","","","台達鋁業股份有限公司","台達鋁業股份有限公司","新竹縣湖口鄉成功路６１４巷６６號","新竹縣","湖口鄉","鋁製造業(鋁材軋延、擠型、伸線業)","非屬工業區類","水污染;廢棄物;","新竹縣湖口鄉成功路614巷66號",252770,2754201,252770,2754201,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
248,"J5905192","2015/5/25","新竹縣","30-104-050009","2015/4/7","水污染防治法第7條第1項，水污染防治措施及檢測申報管理辦法第52條，水污染防治法第18條",300000,"否","","","","台達鋁業股份有限公司","台達鋁業股份有限公司","台達鋁業股份有限公司","新竹縣湖口鄉成功路６１４巷６６號","新竹縣","湖口鄉","鋁製造業(鋁材軋延、擠型、伸線業)","非屬工業區類","水污染;廢棄物;","新竹縣湖口鄉成功路614巷66號",252770,2754201,252770,2754201,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
249,"J5905192","2015/5/25","新竹縣","30-104-050010","2015/4/7","水污染防治法第14條第2項",10000,"否","","","","台達鋁業股份有限公司","台達鋁業股份有限公司","台達鋁業股份有限公司","新竹縣湖口鄉成功路６１４巷６６號","新竹縣","湖口鄉","鋁製造業(鋁材軋延、擠型、伸線業)","非屬工業區類","水污染;廢棄物;","新竹縣湖口鄉成功路614巷66號",252770,2754201,252770,2754201,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
250,"J5905192","2015/5/19","新竹縣","30-104-050008","2015/3/23","水污染防治法第7條第1項，水污染防治法第18條，水污染防治措施及檢測申報管理辦法第52條",270000,"否","","","","台達鋁業股份有限公司","台達鋁業股份有限公司","台達鋁業股份有限公司","新竹縣湖口鄉成功路６１４巷６６號","新竹縣","湖口鄉","鋁製造業(鋁材軋延、擠型、伸線業)","非屬工業區類","水污染;廢棄物;","新竹縣湖口鄉成功路614巷66號",252770,2754201,252770,2754201,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
251,"F1301500","2012/8/28","新竹縣","30-101-080005","2012/7/6","水污染防治法第28條第1項",190000,"否","","","","昶緣興化學工業股份有限公司新竹廠","昶緣興化學工業股份有限公司","","","","","","","","",,,,,"","","",""
252,"J5905281","2012/8/17","新竹縣","30-101-080004","2012/7/6","水污染防治法第28條第1項",190000,"否","","","資料鍵入錯誤","昶緣興化學工業股份有限公司新竹廠","昶緣興化學工業股份有限公司新竹廠","昶緣興化學工業股份有限公司新竹廠","新竹縣湖口鄉湖口村祥喜路２０８巷１１號","新竹縣","湖口鄉","基本化學材料製造業(基本化學材料製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉湖口村祥喜路208巷11號",255903,2752729,255903,2752729,"屬於水污法定義範圍內之列管事業","化工業","湖口鄉","新豐溪"
253,"J5905343","2017/2/9","新竹縣","30-106-020003","2016/11/10","水污染防治法第21條第2項",10000,"否","","","","旭德科技股份有限公司","旭德科技股份有限公司","旭德科技股份有限公司","新竹縣湖口鄉湖南村光復北路８號","新竹縣","湖口鄉","印刷電路板製造業(印刷電路板製造業)","新竹擴大工業區","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣湖口鄉湖南村光復北路8號",252155,2752387,252155,2752387,"屬於水污法定義範圍內之列管事業","印刷電路板製造業","湖口鄉","新豐溪"
254,"J5905343","2015/1/13","新竹縣","30-104-010015","2014/11/13","水污染防治措施及檢測申報管理辦法第7條，水污染防治法第18條",10000,"否","","","","旭德科技股份有限公司-軟板廠","旭德科技股份有限公司","旭德科技股份有限公司","新竹縣湖口鄉湖南村光復北路８號","新竹縣","湖口鄉","印刷電路板製造業(印刷電路板製造業)","新竹擴大工業區","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣湖口鄉湖南村光復北路8號",252155,2752387,252155,2752387,"屬於水污法定義範圍內之列管事業","印刷電路板製造業","湖口鄉","新豐溪"
255,"J5905343","2015/1/13","新竹縣","30-104-010016","2014/11/13","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第50條",10000,"否","","","","旭德科技股份有限公司-軟板廠","旭德科技股份有限公司","旭德科技股份有限公司","新竹縣湖口鄉湖南村光復北路８號","新竹縣","湖口鄉","印刷電路板製造業(印刷電路板製造業)","新竹擴大工業區","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣湖口鄉湖南村光復北路8號",252155,2752387,252155,2752387,"屬於水污法定義範圍內之列管事業","印刷電路板製造業","湖口鄉","新豐溪"
256,"J5905763","2016/4/23","新竹縣","30-105-040010","2016/3/15","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項",6000,"否","","","","清晰科技股份有限公司","清晰科技股份有限公司","清晰科技股份有限公司","新竹縣湖口鄉長安村南窩路４８９號","新竹縣","湖口鄉","金屬加工處理業(金屬表面處理業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉長安村4鄰南窩路489號",261281,2751416,261281,2751416,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
257,"J5905763","2014/10/15","新竹縣","30-103-100003","2014/3/7","水污染防治法第20條第1項",30000,"否","","","","清晰科技股份有限公司","清晰科技股份有限公司","清晰科技股份有限公司","新竹縣湖口鄉長安村南窩路４８９號","新竹縣","湖口鄉","金屬加工處理業(金屬表面處理業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉長安村4鄰南窩路489號",261281,2751416,261281,2751416,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
258,"J5905763","2014/9/18","新竹縣","30-103-090004","2014/8/11","水污染防治法第14條第2項",10000,"否","","","","清晰科技股份有限公司","清晰科技股份有限公司","清晰科技股份有限公司","新竹縣湖口鄉長安村南窩路４８９號","新竹縣","湖口鄉","金屬加工處理業(金屬表面處理業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉長安村4鄰南窩路489號",261281,2751416,261281,2751416,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
259,"J5905763","2014/9/9","新竹縣","30-103-090001","2014/7/24","水污染防治法第14條第2項",10000,"否","","","","清晰科技股份有限公司","清晰科技股份有限公司","清晰科技股份有限公司","新竹縣湖口鄉長安村南窩路４８９號","新竹縣","湖口鄉","金屬加工處理業(金屬表面處理業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉長安村4鄰南窩路489號",261281,2751416,261281,2751416,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
260,"J5905763","2014/3/14","新竹縣","30-103-030009","2013/12/6","水污染防治法第7條第1項",180000,"否","","","","清晰科技股份有限公司","清晰科技股份有限公司","清晰科技股份有限公司","新竹縣湖口鄉長安村南窩路４８９號","新竹縣","湖口鄉","金屬加工處理業(金屬表面處理業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉長安村4鄰南窩路489號",261281,2751416,261281,2751416,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
261,"J5905763","2013/12/9","新竹縣","30-102-120006","2013/8/20","水污染防治法第7條第1項",150000,"否","","","","清晰科技股份有限公司","清晰科技股份有限公司","清晰科技股份有限公司","新竹縣湖口鄉長安村南窩路４８９號","新竹縣","湖口鄉","金屬加工處理業(金屬表面處理業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉長安村4鄰南窩路489號",261281,2751416,261281,2751416,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
262,"J5905763","2013/4/8","新竹縣","30-102-040003","2013/1/16","水污染防治法第7條第1項",90000,"否","","","","清晰科技股份有限公司","清晰科技股份有限公司","清晰科技股份有限公司","新竹縣湖口鄉長安村南窩路４８９號","新竹縣","湖口鄉","金屬加工處理業(金屬表面處理業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣湖口鄉長安村4鄰南窩路489號",261281,2751416,261281,2751416,"屬於水污法定義範圍內之列管事業","金屬表面處理業","湖口鄉","新豐溪"
263,"J5905772","2013/10/22","新竹縣","30-102-100003","2013/4/12","水污染防治法第7條第1項，水污染防治法第19條",210000,"否","","","","全民歡享社區污水下水道系統","全民歡享社區污水下水道系統","全民歡享社區污水下水道系統","新竹縣湖口鄉波羅村千禧路二九巷一弄二號","新竹縣","湖口鄉","廢（污）水處理業","非屬工業區類","水污染;","",,,,,"","","",""
264,"J59097001959","2016/6/4","新竹縣","30-105-060005","2016/3/7","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","全民歡享社區管理委員會","全民歡享社區管理委員會","","","","","","","","",,,,,"","","",""
